Date time,Maximum Temperature (degC),Minimum Temperature (degC),Temperature (degC),Wind Chill (degC),Heat Index (degC),Precipitation (mm),Snow Depth (cm),Wind Speed (mph),Wind Gust (mph),Cloud Cover (%),Relative Humidity (%),Conditions
01/01/2020,33.4,25,28.8,,37,0,,11.8,,43.8,68.16,Partially cloudy
01/02/2020,29.9,23,26,,32.4,0,,10.4,,63.7,74.38,Partially cloudy
01/03/2020,32,20,26.1,,33.4,0,,11.4,,45.9,61.21,Partially cloudy
01/04/2020,31,23,25.7,,33,0,,15.4,46.1,43.8,68.4,Partially cloudy
01/05/2020,34,22,27.4,,36.4,0,,5.8,,37.4,71.54,Partially cloudy
01/06/2020,34.5,24,27.8,,38,0,,20.8,,44,71.01,Partially cloudy
01/07/2020,32,21,26.6,,33.9,0,,9.2,,41.9,66.41,Partially cloudy
01/08/2020,34.5,21.5,28.5,,39.2,0,,7,,35.8,54.55,Partially cloudy
01/09/2020,34,25.5,30.1,,41.8,0,,10.8,,53.4,68.25,Partially cloudy
01/10/2020,33,24,28,,38.2,0,,17.2,34.4,40,79.22,Partially cloudy
01/11/2020,31,24,27.1,,36.4,0,,8.1,,66.1,82.38,Partially cloudy
01/12/2020,34,23.4,29.2,,43.4,0,,8.1,,53.8,73.39,Partially cloudy
01/13/2020,33.4,24.5,28.2,,41.1,0,,11.4,,49,74.13,Partially cloudy
01/14/2020,32.5,25,28.2,,39.2,0,,9.6,,43.2,78.93,Partially cloudy
01/15/2020,35,25,29.4,,43.2,0,,23,25.3,56.6,73.59,Partially cloudy
01/16/2020,26,20,23.7,,,0,,15,,58.8,92.24,Partially cloudy
01/17/2020,28.5,18,23.2,,28.8,0,,15.5,,50,66.77,Partially cloudy
01/18/2020,33,20,27,,39.1,0,,8,,61.1,70.97,Partially cloudy
01/19/2020,34.5,25.5,30.1,,40.5,0,,8.5,,42.7,69.91,Partially cloudy
01/20/2020,34,27,30.2,,40.5,0,,7.4,,43.8,71.04,Partially cloudy
01/21/2020,31,23,27.5,,39,0,,20.8,,50.7,82.24,Partially cloudy
01/22/2020,25,21,23.5,,,0,,11.4,,71.1,93.11,Partially cloudy
01/23/2020,29.5,20,24.6,,30.8,0,,11.3,,50,71.47,Partially cloudy
01/24/2020,31,19.5,25.5,,31.8,0,,10.3,,25,64.94,Clear
01/25/2020,32,20,26.7,,32.6,0,,9.5,,25,61.19,Clear
01/26/2020,33,22,27.9,,34.2,0,,6.9,,25,61.64,Clear
01/27/2020,33.4,24,28.6,,34.7,0,,7.6,,31.7,62.21,Partially cloudy
01/28/2020,35,23,29,,35.4,0,,6.9,,25,56.25,Clear
01/29/2020,32,23,26.3,,37.3,0,,24.2,,47.9,78.56,Partially cloudy
01/30/2020,28,22,24.7,,30,0,,13.9,,62.5,83.78,Partially cloudy
01/31/2020,30,20,25.1,,29.9,0,,11.4,,38.4,67.09,Partially cloudy
02/01/2020,32.5,20.5,27,,35,0,,6.9,,29.7,65.07,Partially cloudy
02/02/2020,34,24,29.1,,38.2,0,,12.8,,52.6,63.46,Partially cloudy
02/03/2020,33,22.5,27.8,,36.9,0,,11.4,,25,70.18,Clear
02/04/2020,34,24.5,29,,38.2,0,,12.4,,26.6,65.23,Partially cloudy
02/05/2020,34,24.5,29.6,,38.3,0,,12,,43.9,64.78,Partially cloudy
02/06/2020,35,24.5,29.5,,40,0,,9.6,,51,69.82,Partially cloudy
02/07/2020,35.5,25,30.2,,41.2,0,,10.4,,42.1,67.57,Partially cloudy
02/08/2020,34.5,26,29.9,,39.4,0,,10.8,,46.8,65,Partially cloudy
02/09/2020,32.5,25,28.8,,37.9,0,,13.9,,44,70.2,Partially cloudy
02/10/2020,31,22,26.3,,30.9,0,,15.6,,25,58.98,Clear
02/11/2020,32,19.4,25.6,,34.1,0,,10.3,,45.4,60.35,Partially cloudy
02/12/2020,31,21.5,26.5,,34.4,0,,10.6,,62,65.94,Partially cloudy
02/13/2020,34,23,28.5,,38.2,0,,12,,40.2,65.33,Partially cloudy
02/14/2020,29,24,26.5,,32,0,,12.6,,33.5,74.33,Partially cloudy
02/15/2020,25,23,24.3,,,0,,11.2,,52.5,89.76,Partially cloudy
02/16/2020,26.5,23.5,24.3,,,0,,15.6,,57.9,89.2,Partially cloudy
02/17/2020,35,23,28.3,,43.4,0,,11.4,,25,76.75,Clear
02/18/2020,30.4,22,25.1,,35.7,0,,26.8,,71.3,87.22,Partially cloudy
02/19/2020,30,20.5,25,,33.2,0,,6.4,,40.5,81.73,Partially cloudy
